customer ID,cluster,prediction,confidence(1),confidence(0),credit score,age,balance,num products,is active,geography,gender
15624180,cluster_3,1,0.758832511,0.241167489,584,37,134171.8,4,1,Germany,Female
15571529,cluster_3,1,0.754896296,0.245103704,650,48,138232.24,1,0,Germany,Female
15766355,cluster_2,1,0.754347237,0.245652763,550,49,108806.96,3,0,Germany,Male
15658409,cluster_3,1,0.75381363,0.24618637,686,41,128876.71,3,1,France,Male
15634551,cluster_6,1,0.753242093,0.246757907,727,46,115248.11,4,0,Germany,Male
15572182,cluster_2,1,0.752500725,0.247499275,505,33,106506.77,3,0,Germany,Female
15766044,cluster_6,1,0.752489568,0.247510432,642,49,120688.61,1,0,Germany,Male
15752294,cluster_3,1,0.752179909,0.247820091,582,38,135979.01,4,1,France,Female
15641175,cluster_6,1,0.750039618,0.249960382,701,63,120916.52,3,0,Germany,Male
15796764,cluster_3,1,0.749887394,0.250112606,684,56,127585.98,3,1,Germany,Female
15635364,cluster_5,1,0.749886508,0.250113492,618,49,44301.43,3,1,France,Female
15732438,cluster_0,1,0.749823846,0.250176154,561,43,0,4,0,France,Male
15686242,cluster_0,1,0.749507257,0.250492743,771,57,0,1,0,France,Female
15640507,cluster_6,1,0.749414921,0.250585079,762,35,119349.69,3,1,Spain,Female
15693690,cluster_6,1,0.748462419,0.251537581,574,52,115532.52,1,0,Spain,Male
15636977,cluster_6,1,0.747847028,0.252152972,507,36,118214.32,3,0,Germany,Male
15600399,cluster_0,1,0.744086667,0.255913333,598,60,0,1,0,France,Male
15767818,cluster_3,1,0.744051302,0.255948698,640,55,132436.34,1,0,France,Male
15623989,cluster_0,1,0.743951258,0.256048742,435,54,0,1,0,France,Male
15651900,cluster_4,1,0.743393284,0.256606716,782,53,81571.05,1,0,Germany,Female
15603135,cluster_2,1,0.742260177,0.257739823,634,59,95727.05,1,0,Germany,Female
15796115,cluster_4,1,0.741104816,0.258895184,689,40,78119.59,4,0,Germany,Female
15728005,cluster_6,1,0.740667121,0.259332879,698,57,111359.55,2,0,France,Female
15592716,cluster_0,1,0.738652192,0.261347808,559,52,0,1,0,France,Male
15807120,cluster_6,1,0.738529063,0.261470937,841,52,112383.03,1,0,Germany,Female
15657349,cluster_2,1,0.73715676,0.26284324,803,50,98173.02,1,0,Germany,Female
15632280,cluster_0,1,0.73677091,0.26322909,544,53,0,1,0,Spain,Female
15724336,cluster_1,1,0.735346136,0.264653864,513,49,171601.27,1,0,Germany,Female
15706458,cluster_6,1,0.734059215,0.265940785,812,39,115730.71,3,1,Germany,Male
15638882,cluster_7,1,0.733402652,0.266597348,710,62,148214.36,1,0,Germany,Female
15786463,cluster_6,1,0.731024961,0.268975039,645,59,121669.93,2,0,Germany,Female
15733361,cluster_4,1,0.727439757,0.272560243,651,45,86714.06,1,0,Germany,Female
15686099,cluster_4,1,0.72626981,0.27373019,563,61,82182.1,1,0,Spain,Male
15663650,cluster_2,1,0.726189147,0.273810853,698,52,107304.39,3,0,Germany,Male
15768163,cluster_3,1,0.723317493,0.276682507,655,46,137145.12,1,0,Germany,Female
15680611,cluster_0,1,0.722960421,0.277039579,663,67,0,3,1,France,Male
15806318,cluster_6,1,0.720349556,0.279650444,676,48,124442.38,1,0,Germany,Female
15771668,cluster_1,1,0.71765702,0.28234298,578,59,185966.64,1,0,France,Male
15593499,cluster_0,1,0.715800082,0.284199918,686,47,0,1,0,Spain,Female
15815316,cluster_4,1,0.712081353,0.287918647,644,50,76817,4,0,France,Male
15608381,cluster_6,1,0.707548786,0.292451214,585,50,125845.66,1,0,Germany,Male
15622033,cluster_2,1,0.706301204,0.293698796,847,41,101543.51,4,0,Germany,Female
15769959,cluster_4,1,0.705532934,0.294467066,597,53,88381.21,1,0,France,Female
15728963,cluster_1,1,0.704520126,0.295479874,617,51,167273.71,1,0,Germany,Female
